NAMES
""
NEXT STEP
COMP OF RTL CUTS (LOIN&SHLDR BLADE)
CKD W/ H2O
O
EGG & CHS
WGYU
WHL WHEAT
JUICE
GRAVY
INSIDE STRIP
NEW ENGLAND
LEMON-FLAVORED
C
SHRT RIBS
TONGUE
PREP W/H2O
OUTSIDE SKIRT
 SIMILAC
W/CHS
CUBE ROLL
CRANBERRY-APPLE JUC DRK
TRIPE UNCKD
CLD
LEEKS
CND ENTREE
 LO IRON
CHICK TENDERS
BACK
LIGHT ICE CRM
CLAM CHOWDER
MAPLE & BROWN SUGAR
STEWING
"1/8"" FAT"
RED-CAL
REG & QUICK
OVEN-HTD
BLUEBERRIES
HIND SHIN
"0""FAT"
GREENLAND
MEAT (ALASKA NATIVE)
POTHERB
AMERICAN
10 GRAMS PROT PER 8 OZ
VEAL
CRANBERRY (ROMAN)
VEG BF
CNTR RIB (ROASTS)
BASIL
LIP OFF
COCONUT MEAT
CHS STUFFED CRUST
MXD
TACO BELL
DRIED-FROZEN (KOYADOFU)
BOLOGNA
SALTED
FUDGE STRIPES
FUDGE SHOPPE
COHO
CK
CLAM
BITE-SIZE
ENCHILADA
WHITE
MRBLSCR 4/5
KUDOS WHL GRAIN BARS
CHEDDAR CHS ON CHS CRACKERS
TOP LOIN STK
PROTEIN-FORTIFIED
3-5 LB RST
POINT HALF
CAMPBELL'S HEALTHY REQUEST
CLOD
ORIGINAL CRUST
OSSO BUCO
WO/ SUGAR
BEANS
MEATBALLS
DRND
ASPARAGUS
DENNY'S
LUPINS
BREAD STUFFING
INDUS
WO/ ADDED VIT C
POPCORN
VAR MEATS & BY-PRODUCTS
USDA COMMODITY
SALAD DRSNG
AGUTUK
OYSTER STEW
KLONDIKE
SNAP
RICE CAKES
PLANTAINS
MEDIUM-GRAIN
&BACON
BTTRMLK
KNUCKLE
PRECKD
DEGERMED
PACIFIC
CRL
LEAVENING AGENTS
H2H WOVEN WHEAT CRACKER
WIENERS (BEEF FRANKS
TURNIP GRNS
CRM OF ASPARAGUS
FRENCH VANILLA
SAVOY
FIBER ONE
SESAME FLOUR
TEA
PROTECT PLUS
WO/SKN
70% LN MEAT / 30% FAT
" 0"" FT"
HARD
ANY FLAVOR
PREP FROM RECIPE
GRAHAM CRACKER
RENNIN
REG CRUST
WENDY'S
W/ ADDED CA
SOY FLR
SOFT-SERVE
EARS
MAGIC MIDDLES FUDGE FILLED COOKIES
VITAMINS A & D
VANILLA
GARDEN
TOP & CNTR
IMMAT SEEDS
CAULIFLOWER
FRZ ENTREE
TERIYAKI
JR
MACADAMIA NUTS
BISCUIT SCRAMBLERS
ALL VAR
TURKEY BREAST (SMOKED
PREPARED-FROM-RECIPE
LIQ CON
AGAVE
WHISKEY SOUR MIX
FAST FD
"DOMINO'S 14"" PEPPERONI PIZZA"
SELF-RISING
CHEESE FD
NEST
SEAL
SKN ONLY
RTB
FORM BAR
POTATOES
MACARONI&CHS
CND OR BTLD
TORTILLA CHIPS
WNTR
CHK
TURKEY FROM WHL
HIND
DHA&ARA
CREAMY
YNG DUCKLING
BLADE RST
PUMPKIN LEAVES
OLD FASHIONED ICED OATMEAL COOKIES
CHERRY
APPLSAUC&APRICOTS
GROUND
REFINED
85% LN MEAT / 15% FAT
MEAT&SKN&GIBLETS&NECK
 SOY
HOMINY
CHOC
CRUNCHY THIN CRUST
GOAT
LEMONADE-FLAVOR DRK
(LIGHT & DARK)
(MANDARIN ORANGES)
WO/DRSNG
APPLSAUC&PNAPPL
DIGIORNO PIZZA
SHREDDED WHEAT
75% LN MEAT / 25% FAT
CHICK MUSHROOM
SPONGE
YARDLONG BNS
NO SALT
CHINESE
ORANGE DRK
STEW
SPROUTED
PDR
WHL WHEAT HOT NAT CRL
PACKED IN TOMATO JUC
UNSWTND
BTTM RND
CRUDE PROT BASIS (N X 6.25)
"1"" STEAK"
FORT W/ VIT D
NUGGETS
FAST FOODS
NO CHS
RTS
WING
SALSA
KELLOGG'S
TOWN HOUSE
BASS
"0""FT"
DOUBLE WHOPPER
CHEDDAR
T-BONE STK
MALTED DRK MIX
RED FAT
FRUIT DSSRT
 GOOD START 2
BAGELS
ME JOHNS
STANDARD-TYPE
PLN
INCL FROM CONC
READY CRUST
HORSE
CRM OF MUSHROOM SOUP
SUGAR FREE
W/PULP
ARROWROOT
AUS
EX HVY SYRUP PK
HVY SYRUP
SMOKED (ALASKA NATIVE)
INF FORM
FRUIT PUNCH JUC DRK
GROUND TURKEY
FRENCH DRSNG
WORTHINGTON FOODS
& MAYO
APPL & RASPBERRY
CRUDE
CAMPBELL'S RED&WHITE
DSSRT
BREAST
PEAS&CARROTS
PASTRAMI
"1/8"" FT"
COMP
ORIENTAL
HEALTHY REQUEST
BREADNUT TREE SEEDS
LEG (HAM)
EX LT SYRUP
SHLDR TOP BLADE STEAK
DRY MIX
FIRM
VIT C
NETTED SHLDR
FILLED
SOUTHERN KITCHEN
EYE OF RND STEAK
TURKEY SAUSAGE
PREP W/CA SULFATE
QUEEN
POST
TURKEY
TOASTED
OATMEAL
LAMBSQUARTERS
(CORN&LIMAS)
SHORTRIBS
L & F
CHEESE SPRD
SHNK OFF
BF
CRM OF SHRIMP
CEREALS
ATLANTIC
TIP RND
SYRUP PK
NECK
CRM OF CHICK
WO/ ADDED VIT A & VIT D
W/ AR & DH
BRSD
ENFAM
NORTHERN
FRENCH
MSHD
SINGLE BRAND
MRBL SCR
TACO SHELLS
ALL GRDS
HOT POCKETS
BEER
EGG CUSTARD
BAKING CHOC
AMERICA'S BF RST
CRISPED RICE BAR
PEACH MELBA
BF W/VEG
APPLE JUC
ALL-BRAN
NEXT STEP PROSOBEE
CRM STYLE
SHLDR TENDER
SWEET POTATOES
NAVY
CORNMEAL
FORMULATED
GEWURZTRAMINER
SPANISH RICE MIX
WHOLE-WHEAT
RUM
&CHILI PEPPERS
STK
 ABBO NUTR
SWTND
ARROWHEAD
ALL STYLES
W/BNS&CHS
HAM W/ NAT JUICS
BLUEBERRY
RTF
RED CAL
 ABB NUTR
GOOSE
CHICK FLAVOR
CASHEW BUTTER
NOTREC
JELLIED
SALT ADDED IN PROC
CRM OF MUSHROOM
DENVER CUT
DOUGHNUTS
SAUCE
MANHATTAN
STEAK
SIMIL
 ABBOTT NUTR
SALMON
UNDER BLADE CNTR STEAK
PEAR
TAHINI
CHOC FLAVOR
DECAFFEINATED
TOFU
GARLAND
100 CAL RIGHT BITES
DRND SOL W/BONE
FORT W/ VITAMIN D
KELLOGG
W/ ADDED VITAMIN D
"TO 1/4"" FAT"
GRN
PITTED
HAM W/ NAT JUCS
CATJANG
TOP RND STEAK
BEET GRNS
BOSTON (ROASTS)
FROM KIDS' MENU
PECANS
MEAT & SKN W/ BREADING
MEAT & SKN & BREADING
LIPON
TOPPERS
SOY PROT ISOLATE
SWEET ROLLS
ENHANCED
CHINESE (PAK-CHOI)
BABY
W/VIT C
SNACK
SPAGHETTI
PARBLD
HOMEMADE
ME JOHN
NESTLE
SANDIES SHORTBREAD COOKIES
BAKERY
MELBA TOAST
ONION
VEG BF SOUP
CELERIAC
FULL-FAT
 GOOD START 2 SOY
CHOC CREME SNDWCH COOKIES
WH PEKIN
SALSIFY
NAAN (INDIAN BREAD)
CRANBERRIES
TENDERLOIN STEAK
EASTERN
TARO SHOOTS
BLADE (ROASTS)
RIB EYE STEAK/ROAST
PIECES
FLIPSIDES
SOFT SERVE
HTD
AVOCADOS
RIBEYE FILET
GREEN
BOLTHOUSE FARMS
KELLOGG'S RICE KRISPIES
FROZEN YOGURTS
PUMPERNICKEL
CHUCK EYE RST
 CLOD
BOWHEAD
TOP RND STK
VEG&TURKEY
PLUMS W/TAPIOCA
NONFAT DRY MILK
INCOMPLETE
OSTRICH
HOME PREP
ALASKA
MEAT & POULTRY
UNFORTIFIED
LAMB
MULTIGRAIN CRACKERS
WHL MILK
W/ CHS
MADE W/LOFAT (2%) MILK
PEAS&ONIONS
TURKEY BREAST (OVEN RSTD
WITH SALT
BNL
LOIN CHOP
RAISINS
BF NOODLE
GENTLE PLUS
W/ PNUTS
DRY
HEARTS OF PALM
SENS
V8 V. FUSION JUICES
SALT
CHEESECAKE MIDDLES
LOW-FAT
REAL MEDLEYS
WHEAT GERM
TOMATO BISQUE
FRIED
DK MEAT FROM WHL
SMOKED
MUNGO BNS
FULLY HYDR
W/ SALT
 MEAT AND POULTRY
SOL & LIQ
CULTURED
PRUNES
BROILERS OR FRYERS
IRON
 POW
MOCK TENDER STK
WHEAT FLR
LIQ CONC
SUNDAE
SOCKEYE
SHRIMP
PALM
 PLN
(GLOBE OR FRENCH)
MEAT&SKN
FULL RUMP
SEA BASS
GRILLE
PRE-SLICED
HOUSEHOLD
ENR
90% LN MEAT / 10% FAT
PEPPERONI TOPPING
GLD
SALTINES
ITALIAN STYLE
HAM
YOLK
BAKER'S
MENHADEN
BNLES
COCNT
SUCKER
3-2-1 PLAN
MUSTARD
HOMESTYLE CHICK NOODLE SOUP
COOKED
DK MEAT
DK
REFR DOUGH W/FRSTNG
RED NA
SORGHUM FLR
LIPIL
UNCKD
DEFATTED
CAMPBELL'S CHUNKY SOUPS
WHL KERNEL
SEMOLINA
WO/VIT C
HAM (H2O 
LARD&VEG OIL
MULTIGRAIN
MADE FROM SURIMI
GELATIN DSSRT
 W/ ARA & DHA
CINN W/CRUMB TOPPING
SNACK MIX
MILK CHOC COATING
MONKFISH
WAFFLE
SCRMBLD
PEAS
BLACKBERRIES
TAMALE
BURDOCK ROOT
FLANK
VINEGAR
TOMATO BF W/ NOODLE
CHICK BROTH CUBES
SQUIRREL
SWISS
POP-TARTS MINI CRISPS
CRUNCHY
SHORTENING INDUSTRIAL
PBM PRODUCTS
COMP OF RTL CUTS
INST GRITS
WITHOUT SALT
CARIBOU
FRSH
POTATO CHIPS
PLATE STEK
CHS TOPPING
MIX
HAM -- H2O ADDED
SKN & BRDING RMVD
HORMEL ALWAYS TENDER
OATMEAL CRISP
BF & BEAN
AUSTRALN
SAUSAGE TOPPING
FRUIT MEDLEY
GENERAL MILLS
HAWAII
MILK SHAKES
CANNED
SEA LION
PINK
CALIFORNIA
VANILLA CREME SNDWCH COOKIES
INF FORMULA
LO SALT
NOPALES
INF FORMU
YARDLONG BEAN
CLUB CRACKERS
CRUMBLES
SIRL CHOPS
W/ IRON
M&M MARS
PARSLEY
ALL GRD
CABBAGE
DISTILLED
GOOD START ESSENTIALS SOY
RIB
LO NA
CHICK BROTH
BANANAS&PNAPPL W/TAPIOCA
CKD
PRETZEL CRACKERS
HALIBUT
GOOD START SUPREME
CHERRIES
EYE
CHEERIOS
RICH
MORI-NU
CHEWY
PRTRHS STK
W/ IRO
VEG&DUMPLINGS&BF
PINEAPPLE JUC
SECTIONS
CRUSTACEANS
SANDWICH-TYPE
BUTTER
OSCAR MAYER
 W/IRON
V8 SPLASH SMOOTHIES
BREAST MEAT
RUTABAGAS
PORK SAUSAGE
CRACKER CHIPS
BRISKET
EEL
PREP W/EQ VOLUME H2O
FR FR
TOP SIRLOIN FILET
MILK BSD
 RW
TOP BLADE
LN FT
WHL (ARM&BLD)
BABYFOOD
SPAGHETTI W/ MEAT SAU
PACIFIC&JACK
PART DEFATTED
DOM
PAN-FRIED
LIMA BNS
SKN & BRDING REMOVED
TOP SIRLOIN CAP STK
BROCCOLI
STR
WO/CA PROP (INCL SOURDOUGH)
GRAPEFRUIT JUC
ONIONS
RUMP
SARDINE
&SPARERIBS)
 NOT RECON
PUREE
DRUMSTK
ORIGINAL & VANILLA
RTE
WALNUTS
WO/ ADDED VIT A & VITAMIN D
HI VIT C
VEG CHICK
WHEATABLES
CHILD FORMULA
&SAUSAGE
GRN BNS
SANDIES
COMMLY PREP
CASHEW NUTS
SHAKE
SQUARE-CUT SHLDR
ANCHOVY
LOTUS ROOT
(BOSTON BUTT)
 PDR
CHIPS
POPOVERS
FLUFFY
INTERMUSCULAR FAT
PUMPKIN FLOWERS
FIGS
FORE-SHANK
CRM OF CELERY
RAINBOW
MEAD JOHNSON
STICK/TUB/BOTTLE
RUMP HALF
APPLESAUCE
UNPREP
CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS
PANCREAS
CHUCK EYE ROLL
DIL W/3 VOLUME H2O
GINGERBREAD
MINESTRONE
KELLOGG'S FRSTD FLAKES
RW
GRLLED
CAMPBELL'S RED & WHITE
GRANOLA BARS
JUC
PROTEIN SUPP
MADE W/MARGARINE
PHEASANT
TSTD
GRL
ASTRLN
LINK/PATTY
"0"" FAT"
