NAMES
""
CHOPD OR LEAF
 ENFAMIL
WILD
LOIN SADDLE
CHESTNUTS
CHIPS
OUTSIDE SKIRT
OIL-ROASTED
PITA
COOKIE JAR CLASSICS
APPLES
WAFFLES
13% PROT
PLATE STEAK
FRUIT SALAD
PHEASANT
VITAMIN D FORT
CURED
RTD
EGG ROLLS
KING
WHEAT
CORNMEAL
VANILLA
EX LN
WHOLE
CHICK BROTH
NAT
LIQ
ROLLS
APRICOTS
CONFECTION FAT
UNENRICHED
RIB EYE
FRESH
PROVOLONE
CRM OF CHICK
VITASOY USA
WHITE CHEDDAR
MUNG BNS
STICK/TUB/BOTTLE
STD SNACK-TYPE
EARS
ALMOND MILK
BEE
CRAB
PACIFIC
SQUASH
TOASTEDS
PAN-BROIL
BEAN W/ FRANKFURTERS
MEAT & VEG TOPPING
COD
ALL-BRAN
TAMALE
WHEAT GERM
ENFAM
TABLE BLENDS
POTATOES
LEMON
LOTUS ROOT
SEASONED
W/BF
SKN & BREADING
UNSPEC OILS
COHO
CARRABBA'S ITALIAN GRILL
PAN-BROWNED
WO/DRSNG
SIRLOIN HALF
DENVER CUT
WO/SKN
DRY RSTD
(LIGHT & DARK)
REAL MEDLEYS
FRUIT PUNCH DRK
FEET
BEETS
"0"""
PLANTAINS
MSHD
VEG&TURKEY
W/ CONDMNT
FRUIT LEATHER
(CORN&LIMAS)
PEPPER
TROPICAL
UNDER BLADE POT RST
VEG BF
CUSTARD PUDD
SOUR
ORANGE-FLAVOR DRK
PUMPKIN FLOWERS
W/ ADDED VIT C
KAMUT KHORASAN
CREAM SUB
GLUCOSE RED
CHINOOK
V8 VEG JUC
 MEAD JOHNSON
BISON
THOMPSON SEEDLESS
CRM OF CELERY
RED CAL
FRUIT COCKTAIL
FRZ
PEAR NECTAR
W/APPLSAUC&BANANAS
JUJUBE
RUMP
LO MOIST
BANANAS
SEA SALT
YOLK
H2O
QUEEN
LOW SODIUM
FRIED PIES
STOCK
DRUMSTICK PODS
CORNBREAD
USDA COMMODITY
WO/ ADDED VITAMIN D
GRS-FED
BLUEBERRIES
 ABB NUTR
CRACKER BARREL
APPL&BLUEBERRY
BRAIN
CHRYSANTHEMUM
GRLLD
BF & BEAN
CHK EYE CNTRY-STYLE RIBS
SKN FROM WHL (LIGHT & DARK)
RED NA
YAMBEAN (JICAMA)
INCL SKN
OUTSIDE RND
FRZ ENTREE
MICROWAVE
FORE
SLOW RSTD
MEATBALLS
PEACH MELBA
THYMUS
BREADED
SHALLOTS
SKN BRDNG RD
BF)
LEMON CREME SNDWCH COOKIES
CONTAINS CAFFEINE
DESSERTS
ASPRT
BOSTON (STEAKS)
SANDIES SHORTBREAD COOKIES
HUBBARD
JELLIED
PANCAKES
 LO IRON
SNACK CAKES
HASH BROWN
FORT W/ VITAMIN D
MACARONI & CHS
RIB RST
85% LN
SORGHUM FLR
CRMD
FIBERPLUS WAFFLES
BLADE (ROASTS)
 SEL
W/PULP
CNTR RIB (ROASTS)
RUSSIAN DRSNG
COUNTRY-STYLE RIBS
SOYBN (HYDR)&CTTNSD
AMARANTH GRAIN
MEXICAN
COWPEAS
TEA
PREP W/CA SULFATE&MAGNESIUM CHLORIDE (NIGARI)
NOODLES&CHICK
NON FAT
BEER SALAMI
W/ BUTTER SAU
PRECKD
SOY PROT CONC
STEWING
CEREAL
YARDLONG BNS
VEG OIL-BUTTER SPRD
PNUT BUTTER ON CHS CRACKERS
WHL KERNEL
PURSLANE
CALIFORNIA RED
PARMESAN
DINNER
VANILLA WAFERS
CHICKPEAS
SEAM FAT
LT MEAT
SKN ONLY
WO/ SALT
BEANS
LEMONADE-FLAVOR DRK
